id,paper_id,primers,longitude,latitude,continent,sample_type,marker_size,Biome,MAT,MAP,pH,year_of_sampling,plants_dominant,target_gene,sequencing_platform,abundances,fungus_species
912,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-6.51561,5.2488,Africa,soil,389804,cropland,25.3,1522,5.2,2012.0,Theobroma cacao,SSU,Illumina,30,Scutellospora sp.
913,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-6.50293,5.25519,Africa,soil,395434,cropland,25.3,1418,6.0,2012.0,Theobroma cacao,SSU,Illumina,1,Scutellospora sp.
914,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-6.64737,5.60093,Africa,soil,444262,cropland,25.3,1317,6.6,2012.0,Theobroma cacao,SSU,Illumina,27,Scutellospora sp.
915,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-5.85288,6.13131,Africa,soil,549910,cropland,25.2,1336,6.9,2012.0,Theobroma cacao,SSU,Illumina,5,Scutellospora sp.
916,Higo_2019_1ER,NS31/AM1 then AMV4.5NF/AMDGR,139.466,35.3802,Asia,root,38292,cropland,15.9,1589,5.43,2017.0,Zea mays,SSU,Illumina,469,Scutellospora sp.
917,Higo_2019_1ER,NS31/AM1 then AMV4.5NF/AMDGR,139.466,35.3802,Asia,root,50451,cropland,15.9,1589,5.78,2017.0,Glycine max,SSU,Illumina,752,Scutellospora sp.
919,Ezeokoli_2020_1AW,AML1/AML2 then AMV4.5NF/AMDGR,29.2006,-26.0079,Africa,root,50529,grassland,16.1,738,4.03,2017.0,Eragostis tef,SSU,Illumina,21,Scutellospora sp.
923,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-6.50257,6.1304,Africa,soil,302263,cropland,25.3,1428,7.0,2012.0,Theobroma cacao,SSU,Illumina,471,Scutellospora sp.
924,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-6.55369,5.83416,Africa,soil,272050,cropland,25.4,1503,5.5,2012.0,Theobroma cacao,SSU,Illumina,18,Scutellospora sp.
925,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-6.54391,5.02081,Africa,soil,475347,cropland,25.7,1455,5.2,2012.0,Theobroma cacao,SSU,Illumina,36,Scutellospora sp.
939,Ezeokoli_2020_1AW,AML1/AML2 then AMV4.5NF/AMDGR,29.1859,-25.9993,Africa,root,62236,grassland,16.0,778,4.39,2017.0,Eragostis tef,SSU,Illumina,1103,Scutellospora sp.
940,Ezeokoli_2020_1AW,AML1/AML2 then AMV4.5NF/AMDGR,29.1859,-25.9993,Africa,root,33914,grassland,16.0,778,4.39,2017.0,Eragostis tef,SSU,Illumina,913,Scutellospora sp.
944,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-6.50486,5.25561,Africa,soil,583567,cropland,25.3,1418,6.0,2012.0,Theobroma cacao,SSU,Illumina,1,Scutellospora sp.
946,Higo_2020_1ES,NS31/AM1 then AMV4.5NF/AMDGR,139.466,35.3802,Asia,root,24323,cropland,15.9,1589,5.2,2017.0,Zea mays,SSU,Illumina,3,Scutellospora sp.
953,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-6.51566,5.24826,Africa,soil,403698,cropland,25.3,1522,5.4,2012.0,Theobroma cacao,SSU,Illumina,47,Scutellospora sp.
969,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-5.8605,6.13563,Africa,soil,532190,cropland,25.2,1309,7.9,2012.0,Theobroma cacao,SSU,Illumina,169,Scutellospora sp.
971,Zhang_2021_1IM,NS1/NS4 then AMV4.5NF/AMDGR,112.53,23.17,Asia,soil,159783,forest,20.7,2167,3.6,2015.0,Pinus massoniana;Cratoxylum cochinchinense;Mallotus paniculatus;Evodia lepta;Dicranopteris pedata,SSU,Illumina,4,Scutellospora sp.
972,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-5.85227,6.16517,Africa,soil,631351,cropland,25.3,1366,7.3,2012.0,Theobroma cacao,SSU,Illumina,12,Scutellospora sp.
974,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-6.48421,6.13359,Africa,soil,645815,cropland,25.2,1497,7.0,2012.0,Theobroma cacao,SSU,Illumina,2,Scutellospora sp.
977,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-5.85987,6.13543,Africa,soil,720863,cropland,25.2,1309,6.5,2012.0,Theobroma cacao,SSU,Illumina,39,Scutellospora sp.
980,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-6.53074,5.01361,Africa,soil,496061,cropland,25.8,1400,6.1,2012.0,Theobroma cacao,SSU,Illumina,2,Scutellospora sp.
986,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-5.8464,6.15457,Africa,soil,347445,cropland,25.3,1290,7.0,2012.0,Theobroma cacao,SSU,Illumina,14,Scutellospora sp.
987,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-5.85275,6.16451,Africa,soil,425790,cropland,25.3,1366,7.3,2012.0,Theobroma cacao,SSU,Illumina,1,Scutellospora sp.
988,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-6.50392,5.25445,Africa,soil,462118,cropland,25.3,1418,5.5,2012.0,Theobroma cacao,SSU,Illumina,223,Scutellospora sp.
989,Vasar_2021_1HW,WANDA/AML2,76.8012,11.4023,Asia,soil,146486,forest,16.0,1244,,2020.0,,SSU,Illumina,388,Scutellospora sp.
990,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-5.85215,6.16445,Africa,soil,509338,cropland,25.3,1366,6.3,2012.0,Theobroma cacao,SSU,Illumina,4,Scutellospora sp.
991,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-6.48554,6.13243,Africa,soil,579723,cropland,25.2,1467,6.9,2012.0,Theobroma cacao,SSU,Illumina,1,Scutellospora sp.
997,Ezeokoli_2020_1AW,AML1/AML2 then AMV4.5NF/AMDGR,29.188,-25.994,Africa,soil,111494,grassland,16.0,778,4.12,2017.0,Eragostis tef,SSU,Illumina,296,Scutellospora sp.
1003,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-6.64763,5.6025,Africa,soil,435338,cropland,25.3,1317,7.6,2012.0,Theobroma cacao,SSU,Illumina,30,Scutellospora sp.
1005,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-6.51471,5.24847,Africa,soil,503658,cropland,25.3,1522,5.5,2012.0,Theobroma cacao,SSU,Illumina,30,Scutellospora sp.
1006,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-6.71217,4.76166,Africa,soil,588049,cropland,26.0,1459,5.9,2012.0,Theobroma cacao,SSU,Illumina,38,Scutellospora sp.
1008,Higo_2019_1ER,NS31/AM1 then AMV4.5NF/AMDGR,139.466,35.3802,Asia,root,50570,cropland,15.9,1589,5.78,2017.0,Glycine max,SSU,Illumina,423,Scutellospora sp.
1009,Higo_2020_1ES,NS31/AM1 then AMV4.5NF/AMDGR,139.466,35.3802,Asia,root,25307,cropland,15.9,1589,5.2,2017.0,Zea mays,SSU,Illumina,308,Scutellospora sp.
1013,Higo_2019_1ER,NS31/AM1 then AMV4.5NF/AMDGR,139.466,35.3802,Asia,root,43880,cropland,15.9,1589,5.43,2017.0,Glycine max,SSU,Illumina,1,Scutellospora sp.
1014,Higo_2019_1ER,NS31/AM1 then AMV4.5NF/AMDGR,139.466,35.3802,Asia,root,52382,cropland,15.9,1589,5.43,2017.0,Glycine max,SSU,Illumina,1358,Scutellospora sp.
1015,Higo_2020_1ES,NS31/AM1 then AMV4.5NF/AMDGR,139.466,35.3802,Asia,root,30768,cropland,15.9,1589,5.4,2017.0,Zea mays,SSU,Illumina,3,Scutellospora sp.
1018,Higo_2019_1ER,NS31/AM1 then AMV4.5NF/AMDGR,139.466,35.3802,Asia,root,50695,cropland,15.9,1589,5.43,2017.0,Glycine max,SSU,Illumina,3136,Scutellospora sp.
1019,Higo_2020_1ES,NS31/AM1 then AMV4.5NF/AMDGR,139.466,35.3802,Asia,root,20490,cropland,15.9,1589,5.4,2017.0,Zea mays,SSU,Illumina,3,Scutellospora sp.
1020,Higo_2019_1ER,NS31/AM1 then AMV4.5NF/AMDGR,139.466,35.3802,Asia,root,39306,cropland,15.9,1589,5.57,2017.0,Glycine max,SSU,Illumina,535,Scutellospora sp.
1021,Higo_2019_1ER,NS31/AM1 then AMV4.5NF/AMDGR,139.466,35.3802,Asia,root,39294,cropland,15.9,1589,5.57,2017.0,Glycine max,SSU,Illumina,632,Scutellospora sp.
1022,Higo_2020_1ES,NS31/AM1 then AMV4.5NF/AMDGR,139.466,35.3802,Asia,root,29198,cropland,15.9,1589,5.2,2017.0,Zea mays,SSU,Illumina,1,Scutellospora sp.
1023,Higo_2020_1ES,NS31/AM1 then AMV4.5NF/AMDGR,139.466,35.3802,Asia,root,26716,cropland,15.9,1589,5.2,2017.0,Zea mays,SSU,Illumina,1,Scutellospora sp.
1024,Higo_2019_1ER,NS31/AM1 then AMV4.5NF/AMDGR,139.466,35.3802,Asia,root,44297,cropland,15.9,1589,5.57,2017.0,Zea mays,SSU,Illumina,2,Scutellospora sp.
1025,Higo_2020_1ES,NS31/AM1 then AMV4.5NF/AMDGR,139.466,35.3802,Asia,root,22709,cropland,15.9,1589,5.4,2017.0,Zea mays,SSU,Illumina,267,Scutellospora sp.
1026,Higo_2020_1ES,NS31/AM1 then AMV4.5NF/AMDGR,139.466,35.3802,Asia,root,26491,cropland,15.9,1589,5.4,2017.0,Zea mays,SSU,Illumina,308,Scutellospora sp.
1027,Higo_2020_1ES,NS31/AM1 then AMV4.5NF/AMDGR,139.466,35.3802,Asia,root,22909,cropland,15.9,1589,5.4,2017.0,Zea mays,SSU,Illumina,580,Scutellospora sp.
1028,Higo_2019_1ER,NS31/AM1 then AMV4.5NF/AMDGR,139.466,35.3802,Asia,root,46868,cropland,15.9,1589,5.54,2017.0,Zea mays,SSU,Illumina,705,Scutellospora sp.
1029,Higo_2020_1ES,NS31/AM1 then AMV4.5NF/AMDGR,139.466,35.3802,Asia,root,22471,cropland,15.9,1589,5.2,2017.0,Zea mays,SSU,Illumina,2,Scutellospora sp.
1030,Higo_2020_1ES,NS31/AM1 then AMV4.5NF/AMDGR,139.466,35.3802,Asia,root,29701,cropland,15.9,1589,5.2,2017.0,Zea mays,SSU,Illumina,47,Scutellospora sp.
1034,Higo_2020_1ES,NS31/AM1 then AMV4.5NF/AMDGR,139.466,35.3802,Asia,root,47871,cropland,15.9,1589,5.3,2017.0,Zea mays,SSU,Illumina,43,Scutellospora sp.
1035,Higo_2020_1ES,NS31/AM1 then AMV4.5NF/AMDGR,139.466,35.3802,Asia,root,27954,cropland,15.9,1589,5.3,2017.0,Zea mays,SSU,Illumina,4,Scutellospora sp.
1036,Higo_2019_1ER,NS31/AM1 then AMV4.5NF/AMDGR,139.466,35.3802,Asia,root,52536,cropland,15.9,1589,5.78,2017.0,Zea mays,SSU,Illumina,1,Scutellospora sp.
1038,Higo_2019_1ER,NS31/AM1 then AMV4.5NF/AMDGR,139.466,35.3802,Asia,root,41138,cropland,15.9,1589,5.43,2017.0,Zea mays,SSU,Illumina,590,Scutellospora sp.
1039,Higo_2020_1ES,NS31/AM1 then AMV4.5NF/AMDGR,139.466,35.3802,Asia,root,21596,cropland,15.9,1589,5.4,2017.0,Zea mays,SSU,Illumina,104,Scutellospora sp.
1040,Higo_2019_1ER,NS31/AM1 then AMV4.5NF/AMDGR,139.466,35.3802,Asia,root,37136,cropland,15.9,1589,5.78,2017.0,Glycine max,SSU,Illumina,493,Scutellospora sp.
1041,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-6.53448,5.84986,Africa,soil,537062,cropland,25.4,1396,5.4,2012.0,Theobroma cacao,SSU,Illumina,4,Scutellospora sp.
1042,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-5.8471,6.15444,Africa,soil,446038,cropland,25.3,1290,6.6,2012.0,Theobroma cacao,SSU,Illumina,52,Scutellospora sp.
1049,Ezeokoli_2020_1AW,AML1/AML2 then AMV4.5NF/AMDGR,29.1895,-26.0018,Africa,soil,92193,grassland,16.0,775,4.16,2017.0,Eragostis tef,SSU,Illumina,2384,Scutellospora sp.
1050,Vasar_2021_1HW,WANDA/AML2,-47.5569,-14.7919,South America,soil,105818,grassland,22.0,1364,3.61,2016.0,,SSU,Illumina,164,Scutellospora sp.
1051,Vasar_2021_1HW,WANDA/AML2,-47.4806,-13.5606,South America,soil,133994,shrubland,21.9,1830,3.9,2016.0,,SSU,Illumina,298,Scutellospora sp.
1052,Ezeokoli_2020_1AW,AML1/AML2 then AMV4.5NF/AMDGR,29.1912,-26.003,Africa,root,87215,grassland,16.0,775,4.16,2017.0,Eragostis tef,SSU,Illumina,2805,Scutellospora sp.
1054,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-6.71622,4.76289,Africa,soil,276301,cropland,26.0,1459,5.7,2012.0,Theobroma cacao,SSU,Illumina,6,Scutellospora sp.
1076,Vasar_2021_1HW,WANDA/AML2,-39.1928,-8.45583,South America,soil,82126,shrubland,27.0,538,5.58,2018.0,,SSU,Illumina,278,Scutellospora sp.
1080,Ezeokoli_2020_1AW,AML1/AML2 then AMV4.5NF/AMDGR,29.1872,-25.9999,Africa,soil,100932,grassland,16.0,778,4.39,2017.0,Eragostis tef,SSU,Illumina,229,Scutellospora sp.
1081,Ezeokoli_2020_1AW,AML1/AML2 then AMV4.5NF/AMDGR,29.1983,-26.0051,Africa,root,55193,grassland,16.0,757,4.69,2017.0,Eragostis tef,SSU,Illumina,266,Scutellospora sp.
1084,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-6.5297,5.01422,Africa,soil,609589,cropland,25.8,1400,6.0,2012.0,Theobroma cacao,SSU,Illumina,2,Scutellospora sp.
1085,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-6.7168,4.76354,Africa,soil,603957,cropland,26.0,1459,5.3,2012.0,Theobroma cacao,SSU,Illumina,1,Scutellospora sp.
1088,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-6.53483,5.85055,Africa,soil,572142,cropland,25.4,1396,5.6,2012.0,Theobroma cacao,SSU,Illumina,1,Scutellospora sp.
1092,Higo_2019_1ER,NS31/AM1 then AMV4.5NF/AMDGR,139.466,35.3802,Asia,root,43724,cropland,15.9,1589,5.54,2017.0,Zea mays,SSU,Illumina,659,Scutellospora sp.
1096,Vasar_2021_1HW,WANDA/AML2,31.6208,-18.1778,Africa,soil,26068,shrubland,17.2,841,5.09,2013.0,,SSU,Illumina,96,Scutellospora sp.
1106,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-6.54327,5.02024,Africa,soil,486847,cropland,25.7,1455,5.2,2012.0,Theobroma cacao,SSU,Illumina,24,Scutellospora sp.
1125,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-6.54396,5.0201,Africa,soil,443583,cropland,25.7,1455,5.7,2012.0,Theobroma cacao,SSU,Illumina,32,Scutellospora sp.
1126,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-6.55346,5.83462,Africa,soil,452741,cropland,25.4,1503,5.3,2012.0,Theobroma cacao,SSU,Illumina,57,Scutellospora sp.
1127,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-6.64888,5.60066,Africa,soil,389742,cropland,25.3,1317,7.0,2012.0,Theobroma cacao,SSU,Illumina,21,Scutellospora sp.
1151,Ezeokoli_2020_1AW,AML1/AML2 then AMV4.5NF/AMDGR,29.188,-25.994,Africa,root,40044,grassland,16.0,778,4.12,2017.0,Eragostis tef,SSU,Illumina,19,Scutellospora sp.
1165,Jiang_2020_1BX,AMV4.5NF/AMDGR,108.981,18.4464,Asia,rhizosphere soil,73421,cropland,25.3,1263,5.11,2018.0,Mangifera indica,SSU,Illumina,2,Scutellospora sp.
1171,Ezeokoli_2020_1AW,AML1/AML2 then AMV4.5NF/AMDGR,29.1887,-26.0,Africa,soil,104957,grassland,16.0,778,4.39,2017.0,Eragostis tef,SSU,Illumina,28,Scutellospora sp.
1183,Jiang_2020_1BX,AMV4.5NF/AMDGR,109.577,19.4322,Asia,rhizosphere soil,91608,cropland,23.8,1754,4.79,2018.0,Litchi chinensis,SSU,Illumina,2,Scutellospora sp.
1184,Jiang_2020_1BX,AMV4.5NF/AMDGR,110.376,22.6647,Asia,rhizosphere soil,107189,cropland,22.4,1433,4.6,2018.0,Litchi chinensis,SSU,Illumina,1,Scutellospora sp.
1185,Jiang_2020_1BX,AMV4.5NF/AMDGR,110.625,19.6028,Asia,rhizosphere soil,117398,cropland,24.6,1834,4.5,2018.0,Litchi chinensis,SSU,Illumina,1,Scutellospora sp.
1193,Ezeokoli_2020_1AW,AML1/AML2 then AMV4.5NF/AMDGR,29.2023,-26.0091,Africa,root,24224,grassland,16.1,738,4.03,2017.0,Eragostis tef,SSU,Illumina,48,Scutellospora sp.
1196,Jiang_2020_1BX,AMV4.5NF/AMDGR,109.189,22.4139,Asia,rhizosphere soil,84468,cropland,22.7,1604,4.45,2018.0,Litchi chinensis,SSU,Illumina,1,Scutellospora sp.
1203,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-6.55324,5.83423,Africa,soil,401278,cropland,25.4,1503,5.8,2012.0,Theobroma cacao,SSU,Illumina,12279,Scutellospora sp.
1218,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-6.4841,6.1321,Africa,soil,542544,cropland,25.2,1467,6.8,2012.0,Theobroma cacao,SSU,Illumina,3,Scutellospora sp.
1221,Vasar_2021_1HW,WANDA/AML2,-5.02694,6.21611,Africa,soil,113295,grassland,26.2,1055,5.86,2019.0,,SSU,Illumina,335,Scutellospora sp.
1236,Ezeokoli_2020_1AW,AML1/AML2 then AMV4.5NF/AMDGR,29.186,-25.9963,Africa,soil,107839,grassland,16.0,778,4.12,2017.0,Eragostis tef,SSU,Illumina,457,Scutellospora sp.
1242,Ezeokoli_2020_1AW,AML1/AML2 then AMV4.5NF/AMDGR,29.1856,-25.9984,Africa,soil,102774,grassland,16.0,778,4.39,2017.0,Eragostis tef,SSU,Illumina,263,Scutellospora sp.
1244,Ezeokoli_2020_1AW,AML1/AML2 then AMV4.5NF/AMDGR,29.1899,-26.0029,Africa,soil,105851,grassland,16.0,775,4.16,2017.0,Eragostis tef,SSU,Illumina,332,Scutellospora sp.
1251,Ezeokoli_2020_1AW,AML1/AML2 then AMV4.5NF/AMDGR,29.1969,-26.0057,Africa,soil,91584,grassland,16.0,757,4.69,2017.0,Eragostis tef,SSU,Illumina,57,Scutellospora sp.
1252,Ezeokoli_2020_1AW,AML1/AML2 then AMV4.5NF/AMDGR,29.1973,-26.0042,Africa,soil,100677,grassland,16.0,757,4.69,2017.0,Eragostis tef,SSU,Illumina,147,Scutellospora sp.
1254,Ezeokoli_2020_1AW,AML1/AML2 then AMV4.5NF/AMDGR,29.1895,-26.0018,Africa,root,49874,grassland,16.0,775,4.16,2017.0,Eragostis tef,SSU,Illumina,24,Scutellospora sp.
1259,Ezeokoli_2020_1AW,AML1/AML2 then AMV4.5NF/AMDGR,29.192,-26.0017,Africa,soil,105322,grassland,16.0,757,4.16,2017.0,Eragostis tef,SSU,Illumina,309,Scutellospora sp.
1260,Ezeokoli_2020_1AW,AML1/AML2 then AMV4.5NF/AMDGR,29.2012,-26.0085,Africa,soil,97642,grassland,16.1,738,4.03,2017.0,Eragostis tef,SSU,Illumina,23,Scutellospora sp.
1261,Vasar_2021_1HW,WANDA/AML2,4.66111,8.45028,Africa,soil,79218,shrubland,26.0,1057,5.01,2018.0,,SSU,Illumina,59,Scutellospora sp.
1274,Vasar_2021_1HW,WANDA/AML2,-65.8789,-28.1872,South America,soil,74277,forest,13.9,385,6.8,2018.0,,SSU,Illumina,4,Scutellospora sp.
1280,Higo_2019_1ER,NS31/AM1 then AMV4.5NF/AMDGR,139.466,35.3802,Asia,root,46329,cropland,15.9,1589,5.43,2017.0,Zea mays,SSU,Illumina,621,Scutellospora sp.
1293,Higo_2019_1ER,NS31/AM1 then AMV4.5NF/AMDGR,139.466,35.3802,Asia,root,32518,cropland,15.9,1589,5.57,2017.0,Glycine max,SSU,Illumina,435,Scutellospora sp.
1294,Vasar_2021_1HW,WANDA/AML2,30.6786,-1.70194,Africa,soil,19585,shrubland,19.8,993,4.28,2018.0,,SSU,Illumina,62,Scutellospora sp.
1296,Ezeokoli_2020_1AW,AML1/AML2 then AMV4.5NF/AMDGR,29.1963,-26.0033,Africa,soil,108423,grassland,16.0,757,4.69,2017.0,Eragostis tef,SSU,Illumina,576,Scutellospora sp.
1313,Jiang_2020_1BX,AMV4.5NF/AMDGR,108.981,18.4464,Asia,rhizosphere soil,76105,cropland,25.3,1263,5.11,2018.0,Mangifera indica,SSU,Illumina,1,Scutellospora sp.
1332,Zhang_2021_1IM,NS1/NS4 then AMV4.5NF/AMDGR,112.53,23.17,Asia,soil,106359,forest,20.7,2167,3.6,2015.0,Pinus massoniana;Cratoxylum cochinchinense;Mallotus paniculatus;Evodia lepta;Dicranopteris pedata,SSU,Illumina,1,Scutellospora sp.
1333,Jiang_2020_1BX,AMV4.5NF/AMDGR,108.783,18.5458,Asia,rhizosphere soil,55012,cropland,25.3,1189,6.84,2018.0,Mangifera indica,SSU,Illumina,1,Scutellospora sp.
1334,Jiang_2020_1BX,AMV4.5NF/AMDGR,108.783,18.5458,Asia,rhizosphere soil,62548,cropland,25.3,1189,6.84,2018.0,Mangifera indica,SSU,Illumina,1,Scutellospora sp.
1336,Jiang_2020_1BX,AMV4.5NF/AMDGR,109.493,21.9958,Asia,rhizosphere soil,116009,cropland,23.0,1699,4.5,2018.0,Litchi chinensis,SSU,Illumina,62,Scutellospora sp.
1342,Zhang_2021_1IM,NS1/NS4 then AMV4.5NF/AMDGR,112.53,23.17,Asia,soil,95771,forest,20.7,2167,3.6,2015.0,Pinus massoniana;Cratoxylum cochinchinense;Mallotus paniculatus;Evodia lepta;Dicranopteris pedata,SSU,Illumina,4,Scutellospora sp.
1349,Davison_2015_1GM,NS31/AML2,28.6608,-24.6778,Africa,root,2712,grassland,19.5,581,6.2,2010.0,Dichrostachys cinerea,SSU,454Roche,2,Scutellospora sp.
1383,Ezeokoli_2020_1AW,AML1/AML2 then AMV4.5NF/AMDGR,29.1971,-26.0088,Africa,soil,121656,cropland,16.1,750,4.89,2017.0,Zea mays,SSU,Illumina,1,Scutellospora sp.
1385,Ezeokoli_2020_1AW,AML1/AML2 then AMV4.5NF/AMDGR,29.188,-25.9931,Africa,soil,95641,grassland,16.0,778,4.12,2017.0,Eragostis tef,SSU,Illumina,506,Scutellospora sp.
1393,Ezeokoli_2020_1AW,AML1/AML2 then AMV4.5NF/AMDGR,29.188,-25.9931,Africa,root,33282,grassland,16.0,778,4.12,2017.0,Eragostis tef,SSU,Illumina,1240,Scutellospora sp.
1396,Ezeokoli_2020_1AW,AML1/AML2 then AMV4.5NF/AMDGR,29.192,-26.0017,Africa,root,32581,grassland,16.0,757,4.16,2017.0,Eragostis tef,SSU,Illumina,219,Scutellospora sp.
1399,Zhang_2021_1IM,NS1/NS4 then AMV4.5NF/AMDGR,112.53,23.17,Asia,soil,170184,forest,20.7,2167,3.6,2015.0,Pinus massoniana;Cratoxylum cochinchinense;Mallotus paniculatus;Evodia lepta;Dicranopteris pedata,SSU,Illumina,5,Scutellospora sp.
1400,Zhang_2021_1IM,NS1/NS4 then AMV4.5NF/AMDGR,112.53,23.17,Asia,soil,130946,forest,20.7,2167,3.6,2015.0,Pinus massoniana;Cratoxylum cochinchinense;Mallotus paniculatus;Evodia lepta;Dicranopteris pedata,SSU,Illumina,1,Scutellospora sp.
1408,Vasar_2021_1HW,WANDA/AML2,-15.8331,11.2742,Africa,soil,120401,forest,26.6,1972,4.66,2018.0,,SSU,Illumina,344,Scutellospora sp.
1415,Jiang_2020_1BX,AMV4.5NF/AMDGR,110.376,22.6647,Asia,rhizosphere soil,161733,cropland,22.4,1433,4.6,2018.0,Litchi chinensis,SSU,Illumina,1,Scutellospora sp.
1443,Ezeokoli_2020_1AW,AML1/AML2 then AMV4.5NF/AMDGR,29.2012,-26.009,Africa,soil,108989,grassland,16.1,738,4.03,2017.0,Eragostis tef,SSU,Illumina,154,Scutellospora sp.
1448,Zhang_2021_1IM,NS1/NS4 then AMV4.5NF/AMDGR,112.53,23.17,Asia,soil,141652,forest,20.7,2167,3.4,2015.0,Castanopsis chinensis;Gironniera subaequalis;Schima superba;Syzygium acuminatissimum;Syzygium rehderianum;Aidia canthioides;Psychotria rubra;Blastus cochinchinensis;Cryptocarya concinna;Machilus chinensis;Lophatherum gracile,SSU,Illumina,1,Scutellospora sp.
1449,Zhang_2021_1IM,NS1/NS4 then AMV4.5NF/AMDGR,112.53,23.17,Asia,soil,136171,forest,20.7,2167,3.4,2015.0,Castanopsis chinensis;Gironniera subaequalis;Schima superba;Syzygium acuminatissimum;Syzygium rehderianum;Aidia canthioides;Psychotria rubra;Blastus cochinchinensis;Cryptocarya concinna;Machilus chinensis;Lophatherum gracile,SSU,Illumina,7,Scutellospora sp.
